epoch,hhmmss,score
1784190847,01:34:07,0
1784190939,01:35:39,0
1784191029,01:37:09,0
1784191121,01:38:41,0
1784191211,01:40:11,0
1784191302,01:41:42,795
1784191393,01:43:13,795
1784191483,01:44:44,795
1784191484,01:44:44,795,END
